iter	Passed	Remaining
1554	59681	132220
1555	59724	132191
1556	59756	132138
1557	59788	132087
1558	59825	132045
1559	59858	131994
1560	59896	131956
1561	59930	131908
1562	59967	131867
1563	60013	131846
1564	60060	131827
1565	60097	131784
1566	60129	131732
1567	60166	131691
1568	60202	131647
1569	60241	131610
1570	60277	131567
1571	60310	131517
1572	60348	131478
1573	60389	131444
1574	60426	131403
1575	60469	131375
1576	60508	131338
1577	60540	131285
1578	60569	131227
1579	60607	131188
1580	60646	131151
1581	60685	131113
1582	60722	131073
1583	60761	131037
1584	60796	130990
1585	60836	130955
1586	60871	130910
1587	60904	130859
1588	60943	130824
1589	60974	130769
1590	61010	130725
1591	61046	130682
1592	61082	130639
1593	61127	130614
1594	61164	130573
1595	61206	130542
1596	61239	130492
1597	61272	130444
1598	61309	130403
1599	61344	130357
1600	61387	130327
1601	61426	130290
1602	61463	130251
1603	61497	130202
1604	61540	130174
1605	61574	130127
1606	61609	130081
1607	61647	130041
1608	61687	130006
1609	61727	129972
1610	61768	129940
1611	61803	129895
1612	61843	129859
1613	61876	129809
1614	61916	129775
1615	61959	129747
1616	61994	129702
1617	62034	129666
1618	62071	129625
1619	62105	129577
1620	62145	129543
1621	62179	129495
1622	62221	129465
1623	62256	129420
1624	62293	129378
1625	62335	129348
1626	62373	129309
1627	62411	129270
1628	62447	129227
1629	62480	129176
1630	62520	129142
1631	62562	129112
1632	62601	129075
1633	62640	129037
1634	62680	129003
1635	62721	128970
1636	62754	128919
1637	62794	128885
1638	62834	128849
1639	62869	128805
1640	62907	128766
1641	62942	128720
1642	62981	128684
1643	63026	128659
1644	63070	128633
1645	63107	128592
1646	63142	128547
1647	63178	128504
1648	63217	128466
1649	63250	128417
1650	63287	128377
1651	63321	128330
1652	63357	128285
1653	63396	128249
1654	63435	128211
1655	63486	128200
1656	63521	128155
1657	63554	128106
1658	63591	128064
1659	63631	128029
1660	63670	127991
1661	63717	127970
1662	63756	127934
